Type, Length, Width, e_L, e_W
C,           53,           47,         1,         1  
C,           57,           45,         1,         1
C,           60,           48,         1,         1 
C,           57,           45,         1,         1 
C,           56,           46,         1,         1
C,           57,           47,         1,         1
C,           59,           46,         1,         1
C,           58,           45,         1,         1
C,           60,           48,         1,         1 
C,           62,           45,         1,         1
C,           59,           45,         1,         1
C,           63,           47,         1,         1
C,           60,           44,         1,         1
C,           59,           47,         1,         1
C,           57,           44,         1,         1
C,           59,           45,         1,         1
C,53,41,2,2
C,53,40,2,2
C,54,42,2,2
C,54,43,2,2
C,55,42,2,2
C,55,44,2,2
C,56,45,2,2
C,56,45,2,2
C,59,45,2,2
C,60,46,2,2
C,           57,           44,             1,          1
C,           51,           39,             1,          1
C,           56,           43,             1,          1
C,           53,           41,             1,          1
C,           50,           43,             1,          1
C,           54,           41,             1,          1
C,           58,           44,             1,          1
C,           53,           42,             1,          1
C,           54,           43,             1,          1
C,          58,           45,             1,          1
C,     62,      53,     1,       1
C,     64,      50,     1,       1 
C,     69,      49,     1,       1
C,     66,      51,     1,       1     
C,     64,      50,     1,       1
C,     61,      50,     1,       1
C,     69,      51,     1,       1
C,     64,      50,     1,       1
C,     65,      46,     1,       1
C,     66,      51,     1,       1
C,     63,      51,     1,       1
C,     60,      54,     1,       1
C,     59,      53,     1,       1
C,     64,      55,     1,       1
C,     62,      52,     1,       1
C,   55.4,  42.7, 0.9,0.8
C,   57.3,  44.3, 0.9,0.8
C,   59.3,  44.2, 0.9,0.8
C,   57.9,  44.4, 0.9,0.8
C,   59.5,  44.3, 0.9,0.8
C,   57.8,  45.2, 0.9,0.8
C,   57.5,  44.5, 0.9,0.8
C,   59.6,  42.9, 0.9,0.8
C,   59.1,  44.5, 0.9,0.8
C,   56.4,  42.4, 0.9,0.8
C,	60,          47,         2,        2
C,	62,          45,         2,        2
C,	60,          46,         2,        2
C,	59,          45,         2,        2
C,	57,          43,         2,        2
C,	59,          43,         2,        2
C,	60,          42,         2,        2
C,	58,          44,         2,        2
C,	61,          43,         2,        2
C,	60,          45,         2,        2
C, 6.85, 4.95, 0.30, 0.30
C, 7.03, 5.04, 0.30, 0.30
C, 6.33, 4.78, 0.30, 0.30
C, 6.83, 4.74, 0.30, 0.30
C, 6.35, 4.96, 0.30, 0.30
C, 6.44, 4.92, 0.30, 0.30
C, 6.46, 4.75, 0.30, 0.30
C, 7.07, 5.01, 0.30, 0.30
C, 6.71, 4.71, 0.30, 0.30
C, 6.33, 4.92, 0.30, 0.30
C,	54.5,	41.9,	    1,		    1
C,	54.6,	43.1,	    1,		    1
C,	53.4,	45.8,	    1,		    1
C,	60.5,	44.5,	    1,		    1
C,	55.9,	42.2,	    1,		    1
C,	53.3,	42.2,	    1,		    1
C,	59.5,	45,	    	1,		    1
C,	56,		43.3,	    1,		    1
C,	58.1,	42.7,	    1,		    1
C,	55.5,	43.9,	    1,		    1
C,	    53.0,		 	  41.0,    	 	 1,		 1
C,	    52.0,		 	  38.0,		 	 1,		 1
C,	    54.0,		 	  40.0,		 	 1,		 1
C,	    52.0,		 	  39.0,		 	 1,		 1
C,	    52.0,		 	  40.0,		 	 1,		 1
C,	    52.0,		 	  38.0,		 	 1,		 1
C,	    54.0,		 	  38.0,		 	 1,		 1
C,	    53.0,		 	  43.0,		 	 1,		 1
C,	    52.0,		 	  38.0,		 	 1,		 1
C,	    55.0,			  35.0,		 	 1,		 1
C,     61.2,	46.6,   0.11,     0.10
C,     58.5,    44.7,   0.11,     0.06
C,     57.3,    43.9,   0.07,     0.06
C,     57.7,    45.5,   0.11,     0.10
C,     61.2,    43.9,   0.07,     0.06
C,     58.1,    44.3,   0.11,     0.06
C,     60.8,    47.0,   0.07,     0.06
C,     61.2,    45.5,   0.07,     0.06
C,     60.4,    45.1,   0.11,     0.10
C,     59.2,    44.3,   0.11,     0.06
C,		45,          56,         1,           1
C,		44,          58,         1,           1
C,		44,          56,         1,           1
C,		43,          57,         1,           1
C,		44,          56,         1,           1
C,		47,          59,         1,           1
C,		44,          55,         1,           1
C,		45,          56,         1,           1
C,		46,          57,         1,           1
C,		44,          56,         1,           1
C,     58,      46,     1,       1
C,     61,      44,     1,       1
C,     62,      46,     1,       1
C,     55,      42,     1,       1
C,     54,      45,     1,       1
C,     53,      42,     1,       1
C,     59,      45,     1,       1
C,     60,      44,     1,       1
C,     60,      45,     1,       1
C,     55,      45,     1,       1
C,     64,      47,     1,       1
C,     61,     44,     1,        1
C,     64,     47,     1,        1
C,     60,     44,     1,        1
C,     62,     46,     1,        1
C,     62,     48,     1,        1
C,     63,     48,     1,        1
C,     61,     47,     1,        1
C,     62,     48,     1,        1
C,     61,     45,     1,        1
C,     59,     46,     1,        1
C,     62,     46,     1,        1
C,     58,     45,     1,        1
C,     66,     47,     1,        1
C,     60,     46,     1,        1
C,     61,     46,     1,        1
C,      62,     47,   1,   1
C,      61,     47,   1,   1
C,      61,     46,   1,   1 
C,      62,     48,   1,   1
C,      63,     49,   1,   1
C,      59,     45,   1,   1
C,      60,     47,   1,   1
C,      61,     48,   1,   1
C,      58,     44,   1,   1
C,      64,     49,   1,   1
C,      58,     45,   1,   1
C,      60,     46,   1,   1
C,      59,     46,   1,   1
C,      59,     45,   1,   1
C,      63,     48,   1,   1
C,        55,    43,    1,   1         
C,        55,    44,    1,   1
C,        58,    45,    1,   1
C,        56,    45,    1,   1
C,        57,    43,    1,   1
C,        56,    46,    1,   1 
C,        55,    46,    1,   1
C,        54,    45,    1,   1
C,        55,    44,    1,   1
C,        56,    45,    1,   1
C,                59,         42,           1,              1
C,                63,         45,           1,              1
C,                55,         40,           1,              1
C,                59,         44,		 1,		 1
C,                58,         42, 		 1,		 1
C,                57,         40, 		 1,		 1
C,                61,         43, 		 1,		 1
C,                56,         40,  	 1,		 1
C,                60,         44, 		 1,		 1
C,     53,      40,      3,    2
C,     56,      45,      1,    1
C,     48,      39,      2,    3
C,     45,      38,      1,    0
C,     52,      41,      3,    1
C,     52,      40,      3,    3
C,     58,      47,      2,    4
C,     65,      50,      3,    4
C,     59,      44,      1,    2
C,     57,      44,      3,    1
C,     53,      38,      2,    4
C,     55,      46,      4,    5
C,     60,      47,      1,    0
C,     51,      45,      2,    0
